i_epoch,env_reward,running_reward,training_step,hpwl,cost,epoch_time
91, -67.49, -82.18, 7560,  703327.77,  852144.44, 1.15
92, -77.93, -81.75, 7560,  806673.17,  966758.36, 1.18
93, -82.20, -81.80, 7560,  850346.04,  997835.42, 1.17
94, -85.80, -82.20, 7980,  887680.13,  1044602.08, 10.81
95, -73.62, -81.34, 7980,  761850.09,  900203.97, 1.28
96, -69.33, -80.14, 7980,  718364.88,  860321.00, 1.19
97, -72.73, -79.40, 7980,  753019.59,  903889.37, 1.20
98, -69.94, -78.45, 7980,  723710.37,  868654.55, 1.21
99, -67.14, -77.32, 8400,  695546.41,  845079.75, 10.94
100, -66.19, -76.21, 8400,  686403.66,  798030.17, 1.28
101, -74.43, -76.03, 8400,  769993.21,  888642.54, 1.18
102, -77.80, -76.21, 8400,  807162.58,  958856.07, 1.15
103, -64.46, -75.03, 8400,  668202.72,  808993.99, 1.17
104, -68.81, -74.41, 8820,  712624.93,  845909.50, 11.09
105, -80.16, -74.98, 8820,  829604.75,  970728.89, 1.30
106, -80.83, -75.57, 8820,  839689.63,  983220.96, 1.21
107, -69.07, -74.92, 8820,  714654.90,  844470.21, 1.20
108, -73.05, -74.73, 8820,  755958.10,  904267.52, 1.19
109, -64.55, -73.71, 9240,  667856.31,  806758.79, 10.87
110, -67.05, -73.05, 9240,  693665.28,  834860.87, 1.29
111, -73.64, -73.11, 9240,  762231.42,  889420.40, 1.19
112, -77.76, -73.57, 9240,  805418.28,  955050.65, 1.18
113, -68.41, -73.06, 9240,  708071.04,  854347.90, 1.20
114, -72.82, -73.03, 9660,  753887.46,  882262.92, 10.86
115, -71.59, -72.89, 9660,  741350.74,  884794.21, 1.30
116, -102.61, -75.86, 9660,  1061787.32,  1185202.06, 1.19
117, -70.10, -75.28, 9660,  726527.15,  850882.03, 1.15
118, -68.69, -74.63, 9660,  711280.09,  826772.50, 1.17
119, -74.82, -74.64, 10080,  774384.57,  907677.06, 10.83
120, -68.11, -73.99, 10080,  704945.34,  819668.67, 1.27
121, -78.03, -74.39, 10080,  807758.50,  923247.21, 1.17
122, -63.56, -73.31, 10080,  658146.96,  779422.44, 1.17
123, -65.53, -72.53, 10080,  678183.66,  798352.04, 1.15
124, -72.55, -72.54, 10500,  750631.27,  875277.23, 10.79
125, -73.01, -72.58, 10500,  755784.03,  869828.35, 1.30
126, -61.72, -71.50, 10500,  641446.39,  753991.95, 1.19
127, -87.19, -73.07, 10500,  902637.49,  1036343.75, 1.15
128, -72.20, -72.98, 10500,  747041.62,  875797.30, 1.19
129, -79.31, -73.61, 10920,  820678.48,  946334.57, 10.74
130, -75.17, -73.77, 10920,  778182.65,  879453.31, 1.27
131, -73.57, -73.75, 10920,  761625.95,  881767.87, 1.22
132, -62.44, -72.62, 10920,  646048.73,  749634.62, 1.20
133, -69.29, -72.29, 10920,  722188.22,  834220.28, 1.20
134, -74.29, -72.49, 11340,  770785.25,  881872.35, 10.89
135, -68.32, -72.07, 11340,  707296.72,  801476.11, 1.28
136, -64.18, -71.28, 11340,  664347.41,  760831.80, 1.18
137, -73.63, -71.51, 11340,  762139.44,  849971.97, 1.18
138, -61.14, -70.48, 11340,  632883.99,  739384.79, 1.20
139, -64.18, -69.85, 11760,  664534.04,  764353.05, 10.80
140, -79.64, -70.83, 11760,  824284.40,  925180.95, 1.29
141, -64.98, -70.24, 11760,  672698.43,  773145.83, 1.19
142, -82.69, -71.49, 11760,  856105.75,  952872.35, 1.18
143, -72.87, -71.63, 11760,  754729.62,  847358.12, 1.22
144, -65.60, -71.02, 12180,  684092.15,  780786.97, 10.93
145, -71.35, -71.06, 12180,  738847.07,  826362.28, 1.32
146, -59.32, -69.88, 12180,  615040.61,  705790.06, 1.20
147, -72.48, -70.14, 12180,  750752.81,  838809.70, 1.17
148, -82.10, -71.34, 12180,  849743.89,  939403.21, 1.19
149, -64.00, -70.60, 12600,  663050.96,  765419.24, 10.88
150, -61.23, -69.67, 12600,  633690.24,  721912.30, 1.27
151, -67.28, -69.43, 12600,  696745.26,  796775.31, 1.18
152, -63.53, -68.84, 12600,  658193.13,  747406.54, 1.16
153, -65.80, -68.53, 12600,  681470.91,  778053.27, 1.16
154, -72.99, -68.98, 13020,  755540.93,  859778.67, 10.98
155, -67.22, -68.80, 13020,  698598.56,  786058.78, 1.25
156, -70.16, -68.94, 13020,  729924.13,  826274.98, 1.21
157, -70.31, -69.08, 13020,  728492.16,  828963.46, 1.19
158, -59.62, -68.13, 13020,  619899.73,  711288.48, 1.18
159, -65.74, -67.89, 13440,  680940.22,  768209.36, 10.66
160, -81.08, -69.21, 13440,  839340.53,  942626.66, 1.26
161, -72.80, -69.57, 13440,  753786.94,  840088.41, 1.20
162, -61.27, -68.74, 13440,  637584.13,  722587.42, 1.18
163, -60.88, -67.95, 13440,  635320.35,  721737.97, 1.18
164, -59.67, -67.13, 13860,  617709.39,  701320.84, 10.71
165, -81.27, -68.54, 13860,  841410.08,  935931.84, 1.25
166, -68.17, -68.50, 13860,  705704.90,  787781.78, 1.18
167, -70.27, -68.68, 13860,  728246.46,  824009.20, 1.17
168, -61.82, -67.99, 13860,  641181.71,  741699.71, 1.17
169, -60.03, -67.20, 14280,  623387.79,  729618.08, 10.76
170, -68.08, -67.29, 14280,  710423.78,  799737.82, 1.30
171, -68.71, -67.43, 14280,  711495.51,  797761.62, 1.20
172, -67.71, -67.46, 14280,  701336.61,  784759.86, 1.21
173, -84.00, -69.11, 14280,  871834.23,  952564.07, 1.20
174, -80.40, -70.24, 14700,  833606.45,  930072.48, 11.08
175, -75.67, -70.78, 14700,  783446.42,  862618.77, 1.28
176, -62.65, -69.97, 14700,  649178.92,  761814.69, 1.17
177, -68.49, -69.82, 14700,  712800.16,  803106.30, 1.23
178, -62.11, -69.05, 14700,  643078.44,  721852.08, 1.20
179, -66.16, -68.76, 15120,  685718.04,  762140.07, 10.90
180, -60.86, -67.97, 15120,  630377.03,  738627.28, 1.31
181, -63.25, -67.50, 15120,  654724.85,  740844.75, 1.22
182, -79.59, -68.71, 15120,  823887.37,  909756.62, 1.19
183, -67.24, -68.56, 15120,  701414.96,  792649.82, 1.21
184, -69.81, -68.69, 15540,  734280.87,  821356.79, 10.91
185, -69.15, -68.73, 15540,  716144.32,  800945.43, 1.32
186, -65.19, -68.38, 15540,  676378.25,  755446.97, 1.20
187, -62.97, -67.84, 15540,  652180.98,  733965.33, 1.18
188, -61.72, -67.23, 15540,  645209.88,  765845.85, 1.19
189, -67.23, -67.23, 15960,  696279.24,  776795.55, 10.70
190, -64.92, -67.00, 15960,  672566.59,  746877.50, 1.31
191, -61.82, -66.48, 15960,  640062.43,  720592.13, 1.17
192, -59.49, -65.78, 15960,  622081.78,  720800.27, 1.17
193, -68.47, -66.05, 15960,  709070.22,  787538.53, 1.17
194, -65.71, -66.01, 16380,  686089.10,  775296.01, 10.77
195, -87.23, -68.14, 16380,  902807.55,  1027030.65, 1.28
196, -71.63, -68.49, 16380,  741735.64,  823884.40, 1.18
197, -69.05, -68.54, 16380,  720830.38,  811315.11, 1.16
198, -61.55, -67.84, 16380,  637186.14,  715786.76, 1.17
199, -77.82, -68.84, 16800,  805754.17,  945945.58, 10.78
200, -76.43, -69.60, 16800,  791792.13,  872719.87, 1.32
201, -59.41, -68.58, 16800,  615048.75,  698922.00, 1.19
202, -63.36, -68.06, 16800,  656165.33,  737295.85, 1.20
203, -60.80, -67.33, 16800,  634910.81,  759271.95, 1.21
204, -67.17, -67.32, 17220,  695642.57,  775317.72, 10.76
205, -70.94, -67.68, 17220,  734595.15,  829982.82, 1.30
206, -66.12, -67.52, 17220,  684605.75,  757434.86, 1.21
207, -74.75, -68.24, 17220,  774236.12,  843252.00, 1.18
208, -68.30, -68.25, 17220,  707552.39,  784818.86, 1.17
209, -65.06, -67.93, 17640,  674269.33,  776145.73, 11.02
210, -65.25, -67.66, 17640,  678657.33,  760833.14, 1.31
211, -70.21, -67.92, 17640,  726894.12,  804714.36, 1.20
212, -59.60, -67.09, 17640,  627084.66,  714897.31, 1.18
213, -67.78, -67.16, 17640,  702327.89,  778555.21, 1.18
214, -64.16, -66.86, 18060,  664512.30,  766261.51, 10.70
215, -62.90, -66.46, 18060,  652338.44,  745301.51, 1.27
216, -60.85, -65.90, 18060,  633042.35,  714170.04, 1.20
217, -61.63, -65.47, 18060,  643473.33,  728025.02, 1.20
218, -58.85, -64.81, 18060,  611870.66,  686505.49, 1.16
219, -72.08, -65.54, 18480,  752157.63,  843264.05, 10.84
220, -61.04, -65.09, 18480,  635496.92,  726442.42, 1.28
221, -60.83, -64.66, 18480,  634676.10,  717049.73, 1.21
222, -59.93, -64.19, 18480,  621741.97,  700787.71, 1.22
223, -60.49, -63.82, 18480,  628479.89,  704771.36, 1.17
224, -69.22, -64.36, 18900,  716668.70,  791348.95, 10.85
225, -61.15, -64.04, 18900,  638168.05,  723338.91, 1.29
226, -65.38, -64.17, 18900,  677040.71,  755485.53, 1.19
227, -79.36, -65.69, 18900,  822426.10,  919992.49, 1.17
228, -65.33, -65.65, 18900,  676721.63,  793456.67, 1.17
229, -62.92, -65.38, 19320,  651833.90,  746571.81, 10.84
230, -59.38, -64.78, 19320,  617283.67,  692968.24, 1.30
231, -63.66, -64.67, 19320,  662160.97,  750371.96, 1.18
232, -76.02, -65.80, 19320,  787063.42,  891145.76, 1.21
233, -65.20, -65.74, 19320,  675422.02,  751201.33, 1.18
234, -60.55, -65.22, 19740,  630154.78,  721821.21, 10.77
235, -68.73, -65.57, 19740,  712103.66,  791091.47, 1.29
236, -61.64, -65.18, 19740,  642919.60,  733457.52, 1.23
237, -62.79, -64.94, 19740,  650315.98,  729328.37, 1.24
238, -61.84, -64.63, 19740,  640332.41,  721549.77, 1.19
239, -75.07, -65.68, 20160,  777356.12,  908040.48, 10.87
240, -61.59, -65.27, 20160,  637945.03,  712631.96, 1.29
241, -63.88, -65.13, 20160,  661668.61,  740168.22, 1.24
242, -60.93, -64.71, 20160,  631097.61,  713238.96, 1.20
243, -62.28, -64.47, 20160,  644661.29,  725242.53, 1.28
244, -70.64, -65.08, 20580,  731652.90,  814893.25, 10.79
245, -72.40, -65.81, 20580,  753829.45,  843064.93, 1.27
246, -60.77, -65.31, 20580,  629491.58,  704424.99, 1.17
247, -69.96, -65.77, 20580,  724838.16,  797668.14, 1.17
248, -64.98, -65.70, 20580,  677168.78,  759535.07, 1.18
249, -68.74, -66.00, 21000,  711829.30,  791115.92, 10.83
250, -69.13, -66.31, 21000,  715686.53,  805854.68, 1.36
251, -76.35, -67.32, 21000,  790561.19,  916677.43, 1.19
252, -66.54, -67.24, 21000,  697097.33,  788720.33, 1.18
253, -73.46, -67.86, 21000,  760884.42,  847520.58, 1.19
254, -71.49, -68.22, 21420,  748777.42,  835959.25, 10.89
255, -71.60, -68.56, 21420,  741600.79,  836980.70, 1.31
256, -82.65, -69.97, 21420,  858166.86,  956190.82, 1.23
257, -60.68, -69.04, 21420,  628417.55,  704145.37, 1.22
258, -75.58, -69.70, 21420,  782882.24,  864617.37, 1.22
259, -60.14, -68.74, 21840,  622825.05,  702238.12, 11.02
260, -68.53, -68.72, 21840,  709742.45,  795940.62, 1.28
261, -64.27, -68.27, 21840,  665601.08,  758499.93, 1.18
262, -62.54, -67.70, 21840,  651445.29,  748462.00, 1.16
263, -60.47, -66.98, 21840,  631612.21,  715388.92, 1.21
264, -66.07, -66.89, 22260,  684280.05,  769080.01, 10.76
265, -62.68, -66.47, 22260,  649005.13,  730818.04, 1.31
266, -77.48, -67.57, 22260,  802599.69,  926894.66, 1.22
267, -61.75, -66.99, 22260,  645615.37,  725337.52, 1.19
268, -71.74, -67.46, 22260,  742632.88,  829382.93, 1.17
269, -66.06, -67.32, 22680,  684544.23,  768447.72, 10.74
270, -59.26, -66.51, 22680,  613373.04,  687914.94, 1.30
271, -60.16, -65.88, 22680,  623599.46,  722866.87, 1.19
272, -60.87, -65.38, 22680,  630607.28,  725458.71, 1.19
273, -66.27, -65.47, 22680,  688191.21,  763386.92, 1.17
274, -58.51, -64.77, 23100,  610262.01,  702788.82, 10.81
275, -68.96, -65.19, 23100,  714247.72,  789709.83, 1.35
276, -93.26, -68.00, 23100,  965377.39,  1046218.26, 1.19
277, -68.71, -68.07, 23100,  711601.46,  793058.86, 1.20
278, -64.38, -67.70, 23100,  666541.81,  743048.46, 1.21
279, -66.43, -67.57, 23520,  687982.44,  772853.11, 10.77
280, -60.11, -66.83, 23520,  628273.83,  713601.24, 1.28
281, -69.65, -67.11, 23520,  721288.83,  804510.76, 1.18
282, -63.34, -66.73, 23520,  656380.79,  731634.98, 1.20
283, -67.23, -66.78, 23520,  699638.73,  795185.47, 1.20
284, -63.48, -66.45, 23940,  657381.50,  742545.85, 11.25
285, -57.77, -65.58, 23940,  604694.33,  700063.73, 1.31
286, -84.08, -67.43, 23940,  870390.33,  991422.24, 1.15
287, -61.83, -66.87, 23940,  640810.58,  724845.71, 1.18
288, -63.61, -66.55, 23940,  660425.35,  739212.37, 1.18
289, -66.51, -66.54, 24360,  688446.12,  773767.34, 10.80
290, -66.02, -66.49, 24360,  683761.58,  771045.87, 1.31
291, -61.32, -65.97, 24360,  654909.40,  761162.54, 1.18
292, -78.37, -67.21, 24360,  811381.45,  897090.62, 1.20
293, -69.43, -67.43, 24360,  724437.76,  826514.56, 1.23
